,kind,red,orange,yellow,green,blue,brown,total
6,Milk chocolate (brown packaging),5.0,12.0,6.0,10.0,19.0,3.0,55.0
42,Peanut (yellow packaging),6.0,11.0,16.0,14.0,9.0,7.0,63.0
61,Milk chocolate (brown packaging),4.0,3.0,4.0,4.0,7.0,8.0,30.0
59,Milk chocolate (brown packaging),7.0,4.0,6.0,4.0,0.0,5.0,26.0
49,Peanut (yellow packaging),1.0,2.0,3.0,0.0,2.0,0.0,8.0
74,Milk chocolate (brown packaging),6.0,5.0,7.0,7.0,6.0,3.0,34.0
5,Milk chocolate (brown packaging),2.0,14.0,5.0,13.0,13.0,8.0,55.0
26,Milk chocolate (brown packaging),4.0,6.0,6.0,20.0,15.0,5.0,56.0
25,Milk chocolate (brown packaging),3.0,11.0,6.0,15.0,16.0,3.0,54.0
68,Milk chocolate (brown packaging),3.0,5.0,5.0,5.0,8.0,4.0,30.0
62,Milk chocolate (brown packaging),2.0,6.0,6.0,4.0,4.0,2.0,24.0
40,Milk chocolate (brown packaging),21.0,32.0,15.0,26.0,27.0,15.0,136.0
0,Milk chocolate (brown packaging),5.0,11.0,4.0,6.0,20.0,8.0,54.0
11,Milk chocolate (brown packaging),8.0,12.0,6.0,11.0,12.0,7.0,56.0
18,Milk chocolate (brown packaging),2.0,9.0,11.0,11.0,15.0,6.0,54.0
20,Milk chocolate (brown packaging),5.0,9.0,6.0,8.0,19.0,6.0,53.0
71,Milk chocolate (brown packaging),7.0,8.0,8.0,4.0,9.0,3.0,39.0
67,Milk chocolate (brown packaging),6.0,6.0,5.0,5.0,4.0,4.0,30.0
60,Milk chocolate (brown packaging),4.0,2.0,6.0,8.0,5.0,3.0,28.0
17,Milk chocolate (brown packaging),3.0,11.0,7.0,12.0,3.0,3.0,39.0
7,Milk chocolate (brown packaging),3.0,12.0,10.0,15.0,11.0,4.0,55.0
72,Milk chocolate (brown packaging),9.0,4.0,5.0,9.0,4.0,5.0,36.0
70,Milk chocolate (brown packaging),5.0,9.0,1.0,4.0,10.0,1.0,30.0
28,Milk chocolate (brown packaging),9.0,14.0,7.0,10.0,11.0,4.0,55.0
19,Milk chocolate (brown packaging),2.0,14.0,10.0,6.0,17.0,7.0,56.0
21,Milk chocolate (brown packaging),10.0,13.0,5.0,14.0,9.0,4.0,55.0
13,Milk chocolate (brown packaging),4.0,10.0,11.0,10.0,12.0,2.0,49.0
1,Milk chocolate (brown packaging),6.0,14.0,6.0,8.0,14.0,8.0,56.0
4,Milk chocolate (brown packaging),4.0,11.0,7.0,11.0,12.0,10.0,55.0
12,Milk chocolate (brown packaging),2.0,9.0,12.0,11.0,17.0,5.0,56.0
27,Milk chocolate (brown packaging),4.0,20.0,5.0,10.0,11.0,6.0,56.0
65,Milk chocolate (brown packaging),9.0,6.0,4.0,5.0,4.0,6.0,34.0
22,Milk chocolate (brown packaging),6.0,18.0,5.0,11.0,12.0,4.0,56.0
36,Milk chocolate (brown packaging),20.0,26.0,19.0,39.0,21.0,15.0,140.0
9,Milk chocolate (brown packaging),3.0,15.0,12.0,9.0,11.0,6.0,56.0
16,Milk chocolate (brown packaging),6.0,12.0,9.0,8.0,18.0,5.0,58.0
69,Milk chocolate (brown packaging),7.0,7.0,3.0,6.0,2.0,2.0,27.0
73,Milk chocolate (brown packaging),3.0,8.0,3.0,2.0,9.0,5.0,30.0
64,Milk chocolate (brown packaging),8.0,6.0,7.0,12.0,5.0,2.0,40.0
14,Milk chocolate (brown packaging),6.0,9.0,8.0,11.0,14.0,9.0,57.0
66,Milk chocolate (brown packaging),4.0,5.0,5.0,9.0,5.0,2.0,30.0
2,Milk chocolate (brown packaging),7.0,13.0,8.0,5.0,14.0,9.0,56.0
51,Peanut (yellow packaging),1.0,1.0,0.0,1.0,2.0,2.0,7.0
38,Milk chocolate (brown packaging),17.0,25.0,19.0,24.0,30.0,22.0,137.0
10,Milk chocolate (brown packaging),3.0,14.0,6.0,13.0,14.0,5.0,55.0
15,Milk chocolate (brown packaging),3.0,14.0,10.0,10.0,11.0,7.0,55.0
23,Milk chocolate (brown packaging),4.0,9.0,10.0,10.0,18.0,3.0,54.0
63,Milk chocolate (brown packaging),7.0,5.0,4.0,8.0,3.0,4.0,31.0
3,Milk chocolate (brown packaging),7.0,12.0,9.0,13.0,11.0,4.0,56.0
24,Milk chocolate (brown packaging),9.0,12.0,7.0,6.0,12.0,6.0,52.0
8,Milk chocolate (brown packaging),4.0,10.0,5.0,14.0,11.0,8.0,52.0
